school_name,address,mascot,colors,f2_colors
Central High School,"2155 Napier Avenue Macon, GA 31204-3600",Chargers,"Orange, White & Royal Blue","orange, white"
Lanier High School,"918 Buford Highway Sugar Hill, GA 30518",Longhorns,"Orange, White & Black","orange, white"
Metter High School,"34905 Highway 129, South Metter, GA 30439",Tigers,"Orange, White & Black","orange, white"
North Cobb High School,"3400 Old Highway 293, North Kennesaw, GA 30144-1072",Warriors,"Orange, White & Blue","orange, white"
Parkview High School,"998 Cole Drive Lilburn, GA 30047",Panthers,Orange & White,"orange, white"
Coretta Scott King,"1190 Northwest Drive Atlanta, GA 30318",Eagles,Pink & Brown,"pink, brown"
Trinity Christian School,"8817 Highway 54 West Sharpsburg, GA 30277",Lions,"Purple, Black & White","purple, black"
Cherokee Bluff High School,"6603 Spout Springs Road Flowery Branch, GA 30542",Bears,Purple & Silver,"purple, silver"
Cartersville High School,"320 East Church Street Cartersville, GA 30120",Purple Hurricanes,Purple & Vegas Gold,"purple, vegas gold"
Hiram High School,"702 Virgie Ballentine Drive Hiram, GA 30141",Hornets,Purple & Vegas Gold,"purple, vegas gold"
Lumpkin County High School,"2001 Indian Drive Dahlonega, GA 30533-3206",Indians,Purple & Vegas Gold,"purple, vegas gold"
Darlington School,"1014 Cave Spring Road Rome, GA 30161-4700",Tigers,Purple & White,"purple, white"
Duluth High School,"3737 Brock Road Duluth, GA 30096",Wildcats,"Purple, White & Black","purple, white"
Gilmer High School,"408 Bobcat Trail Ellijay, GA 30540",Bobcats,Purple & White,"purple, white"
Jasper County High School,"14477 GA Highway 11 N Monticello, GA 31064",Hurricanes,"Purple, White, Silver, and Black","purple, white"
AR Johnson Magnet High School,"1324 Laney-Walker Blvd Augusta, GA 30901",Panthers,Purple & White,"purple, white"
King's Ridge Christian School,"2765 Bethany Bend Alpharetta, GA 30004",Tigers,Purple & White,"purple, white"
Miller Grove High School,"2645 DeKalb Medical Parkway Lithonia, GA 30058",Wolverines,"Purple, White & Silver","purple, white"
Monroe Area High School,"300 Double Springs Church Road Monroe, GA 30656",Purple Hurricanes,Purple & White,"purple, white"
Clarke Central High School,"350 South Milledge Avenue Athens, GA 30605",Gladiators,Red & Gold,"red, gold"
Greater Atlanta Christian School,"1575 Indian Trail Road Norcross, GA 30093-2614",Spartans,Red & Gold,"red, gold"
McIntosh County Academy,"8945 US 17, North Darien, GA 31305-9834",Buccaneers,Red & Gold,"red, gold"
Thomasville High School,"315 South Hansell Street Thomasville, GA 31792-5698",Bulldogs,Red & Gold,"red, gold"
