school_name,address,mascot,colors
Jefferson County High School,"1157 Warrior Trail Louisville, GA 30434",Warriors,"Gold, Navy & White"
H. V. Jenkins High School,"1800 E. Derenne Avenue Savannah, GA 31406-3106",Warriors,"Red, White & Silver/Gray"
Jenkins County High School,"433 Barney Avenue Millen, GA 30442-1948",War Eagles,Blue & White
Johns Creek High School,"5575 State Bridge Road Johns Creek, GA 30022",Gladiators,Cardinal Red & Vegas Gold
Johnson County High School,"150 Herschel Walker Drive Wrightsville, GA 31096",Trojans,Blue & White
AR Johnson Magnet High School,"1324 Laney-Walker Blvd Augusta, GA 30901",Panthers,Purple & White
Johnson High School,"3155 Robert Wood Johnson Drive Gainesville, GA 30507",Knights,"Columbia Blue, Navy & White"
Johnson High School,"3012 Sunset Boulevard Savannah, GA 31404",Atom Smashers,Blue & Orange
Jones County High School,"339 Railroad Street Gray, GA 31032",Greyhounds,Purple & Gold
Jonesboro High School,"7728 Mt. Zion Blvd Jonesboro, GA 30236",Cardinals,Scarlet & White
Jordan Vocational High School,"3200 Howard Ave Columbus, GA 31904",Red Jackets,Carmine & Gray
T.W. Josey Comp. High School,"1701 15th Street St Eagles Way Augusta, GA 30901",Eagles,"Green, White & Gold"
Kell High School,"4770 Lee Waters Road Marietta, GA 30066",Longhorns,"Copper, White & Black"
Kendrick High School,"6015 Georgetown Drive Columbus, GA 31907-4698",Cherokees,Blue & Gold
Kennesaw Mountain High School,"1898 Kennesaw Due West Road Kennesaw, GA 30152",Mustangs,"Green, Silver & Black"
King's Ridge Christian School,"2765 Bethany Bend Alpharetta, GA 30004",Tigers,Purple & White
KIPP Atlanta Collegiate,"98 Anderson Avenue Atlanta, GA 30314",Warriors,Collegiate Purple & Kelly Green
LaFayette High School,"5178 Round Pond Road LaFayette, GA 30728",Ramblers,Orange & Black
LaGrange High School,"516 North Greenwood Street LaGrange, GA 30240",Grangers,Royal Blue & White
Lake Oconee Academy,"1021 Titan Circle Greensboro, GA 30642",Titans,Royal Blue & Gold
Lakeside High School,"3801 Briarcliff Road, NE Atlanta, GA 30345-3856",Vikings,Purple & Gold
Lakeside High School,"533 Blue Ridge Drive Evans, GA 30809-9299",Panthers,Maroon & Silver
Lakeview-Ft. Ogle. High School,"1850 Battlefield Parkway Fort Oglethorpe, GA 30742-4020",Warrior,Red & White
Lamar County High School,"1 Trojan Way Barnesville, GA 30204",Trojans,"Navy, Red & White"
Lambert High School,"805 Nichols Road Suwanee, GA 30024",Longhorns,"Crimson, Black & White"
Landmark Christian School,"50 SE Broad Street Fairburn, GA 30213-1483",War Eagles,Navy & Vegas Gold
Laney High School,"1339 Laney Walker Blvd Augusta, GA 30901",Wildcats,Red & Gray
Lanier High School,"918 Buford Highway Sugar Hill, GA 30518",Longhorns,"Orange, White & Black"
Lanier County High School,"52 West Patten Avenue Lakeland, GA 31635-1450",Bulldogs,Red & Black
Lassiter High School,"2601 Shallowford Road Marietta, GA 30066-3038",Trojans,Cardinal & Gold
Lee County High School,"One Trojan Way Leesburg, GA 31763",Trojans,Red & White
Liberty County High School,"3216 East Oglethorpe Hwy Hinesville, GA 31313",Panthers,Black & Vegas Gold
Lincoln County High School,"200 Charles Ward Elam Street Lincolnton, GA 30817",Red Devils,Red & White
Lithia Springs High School,"2520 E. County Line Road Lithia Springs, GA 30122-2799",Lions,Green & Gold
Lithonia High School,"2440 Phillips Road Lithonia, GA 30058",Bulldogs,Black & Gold
Locust Grove High School,"3275 S Ola Road Locust Grove, GA 30248",Wildcats,Royal Blue & White
Loganville High School,"100 Trident Trail Loganville, GA 30052",Red Devils,Red & White
Long County High School,"1844 GA HWY 57 Ludowici, GA 31316",Blue Tide,Columbia Blue & White
Lovejoy High School,"1587 McDonough Road Hampton, GA 30228",Wildcats,Columbia Blue & Navy
The Lovett School,"4075 Paces Ferry Road, NW Atlanta, GA 30327-3099",Lions,Blue & White
Lowndes High School,"1606 Norman Drive Valdosta, GA 31601-3598",Vikings,Crimson & White
Luella High School,"603 Walker Drive Locust Grove, GA 30248-2052",Lions,"Navy, Silver & Maroon"
Lumpkin County High School,"2001 Indian Drive Dahlonega, GA 30533-3206",Indians,Purple & Vegas Gold
M. L. King High School,"3991 Snapfinger Road Lithonia, GA 30038",Lions,Crimson & Silver
Macon County High School,"611 Vienna Road Montezuma, GA 31063-1274",Bulldogs,Red & Gray
Madison County High School,"600 Madison Street Danielsville, GA 30633",Red Raiders,Red & Gray
